date,SBI_Bluechip,ICICI_Bluechip,Nippon_Large_Cap,Axis_Bluechip,Kotak_Bluechip
2012-12-31,,,,23.992,
2013-01-01,,,,23.9979,
2013-01-02,103.0059,15.0253,14.6967,24.0036,
2013-01-03,103.0306,15.0737,14.7305,24.0092,
2013-01-04,103.0619,15.0702,14.8037,24.0147,
2013-01-06,103.0619,15.0702,14.8037,24.0258,
2013-01-07,103.1408,15.0913,14.7718,24.0314,30.6076
2013-01-08,103.1663,15.1146,14.7197,24.0369,30.6239
2013-01-09,103.1897,15.0517,14.7249,24.0424,30.6492
2013-01-10,103.2132,15.0619,14.6784,24.0479,30.6784
2013-01-11,103.2385,14.8886,14.6421,24.0534,30.6305
2013-01-13,103.2385,14.8886,14.6421,24.0643,30.6305
2013-01-14,103.3225,14.9767,14.7844,24.0698,30.6862
2013-01-15,102.9223,14.9813,14.8315,24.0754,30.6993
2013-01-16,102.9421,14.8752,14.6876,24.0809,30.6804
2013-01-17,102.9691,14.8214,14.7703,24.0863,30.6565
2013-01-18,102.9932,14.7954,14.8654,24.0918,30.658
2013-01-20,102.9932,14.7954,14.8654,24.1028,30.658
2013-01-21,103.0662,14.7538,14.9285,24.1084,30.6574
2013-01-22,103.0909,14.7072,14.8574,24.1139,30.6627
2013-01-23,103.1145,14.6961,14.7986,24.1194,30.6688
2013-01-24,103.1411,14.6124,14.6226,24.1249,30.6574
2013-01-25,103.1411,14.7695,14.7605,24.1249,30.6611
2013-01-27,103.1411,14.7695,14.7605,24.1413,30.6611
2013-01-28,103.2351,14.7769,14.7737,24.1468,30.6878
2013-01-29,102.9384,14.7946,14.681,24.1522,30.674
2013-01-30,102.959,14.7706,14.6583,24.1577,30.6441
2013-01-31,102.9778,14.7326,14.6179,24.1631,30.6763
2013-02-01,102.9976,14.6961,14.5671,24.1686,30.7201
2013-02-03,102.9976,14.6961,14.5671,24.1795,30.7201
2013-02-04,103.0659,14.7065,14.5479,24.1849,30.7231
2013-02-05,103.0886,14.6435,14.4313,24.1903,30.6673
2013-02-06,103.1119,14.7026,14.4775,24.1959,30.7067
2013-02-07,103.1356,14.6822,14.4048,24.2013,30.6882
2013-02-08,103.1594,14.6145,14.3212,24.2067,30.6813
2013-02-10,103.1594,14.6145,14.3212,24.2174,30.6813
2013-02-11,103.2303,14.5489,14.2908,24.223,30.5643
2013-02-12,103.2523,14.5546,14.3298,24.2284,30.6846
2013-02-13,103.2745,14.6106,14.3617,24.2338,30.693
2013-02-14,103.2937,14.5047,14.1541,24.2392,30.648
2013-02-15,102.9522,14.4666,14.1364,24.2446,30.6442
2013-02-17,102.9522,14.4666,14.1364,24.2554,30.6442
2013-02-18,103.0229,14.4915,14.1843,24.2609,30.6588
2013-02-19,103.0229,14.6114,14.2926,24.2664,30.6778
2013-02-20,103.0725,14.6159,14.2782,24.2719,30.7038
2013-02-21,103.0965,14.4163,14.0679,24.2773,30.6841
2013-02-22,103.1226,14.4423,14.0985,24.2828,30.6784
2013-02-24,103.1226,14.4423,14.0985,24.2938,30.6784
2013-02-25,103.1919,14.401,14.0828,24.2993,30.8655
2013-02-26,103.2097,14.2049,13.8873,24.3047,30.8517
2013-02-27,103.2322,14.2879,13.9873,24.3102,30.8692
2013-02-28,103.254,14.1092,13.7174,24.3157,30.8823
2013-03-01,102.9714,14.238,13.8247,24.3212,30.8771
2013-03-03,102.9714,14.238,13.8247,24.3322,30.8771
2013-03-04,103.0478,14.1535,13.7577,24.3377,30.9006
2013-03-05,103.0786,14.3051,13.9807,24.3433,30.9255
2013-03-06,103.1012,14.3669,14.0779,24.3489,30.9339
2013-03-07,103.129,14.4921,14.1368,24.3546,30.9351
2013-03-08,103.1462,14.6971,14.2733,24.3601,30.9455
2013-03-10,103.1462,14.6971,14.2733,24.3714,30.9455
2013-03-11,103.2199,14.7309,14.2265,24.377,30.9535
2013-03-12,103.251,14.69,14.1646,24.3827,30.9494
2013-03-13,103.2884,14.5384,13.9586,24.3882,30.9439
2013-03-14,103.34,14.6688,14.1321,24.3939,30.9591
2013-03-15,102.9975,14.6503,14.0574,24.3995,30.9911
2013-03-17,102.9975,14.6503,14.0574,24.4112,30.9911
2013-03-18,103.0355,14.5716,13.9688,24.4172,30.9884
2013-03-19,103.0632,14.3756,13.7101,24.423,30.9834
2013-03-20,103.1016,14.1918,13.4866,24.4287,30.9819
2013-03-21,103.157,14.1287,13.4908,24.4344,30.9869
2013-03-22,103.1891,14.0638,13.4563,24.4402,30.9812
2013-03-24,103.1891,14.0638,13.4563,24.4518,30.9812
2013-03-25,103.2114,14.0211,13.4002,24.4577,30.9981
2013-03-26,103.2285,14.0945,13.4772,24.464,30.9902
2013-03-27,103.2285,14.0945,13.4772,24.4699,30.9902
2013-03-28,103.2633,14.1991,13.578,24.4795,31.0136
2013-03-29,103.2633,14.1991,13.578,24.4795,31.0185
2013-04-01,103.2633,14.231,13.6324,24.5163,31.055
2013-04-02,103.2626,14.3768,13.8124,24.5294,31.0775
2013-04-03,103.3274,14.2929,13.6549,24.5363,31.0919
2013-04-04,103.4096,14.0601,13.4167,24.5419,31.0996
2013-04-05,103.4164,14.0479,13.4782,24.548,31.0949
2013-04-07,103.4164,0.0,13.4782,24.559,31.0949
2013-04-08,103.462,14.0224,13.4526,24.5645,31.1187
2013-04-09,103.4716,13.9389,13.3266,24.5702,31.1389
2013-04-10,103.4653,13.9826,13.4579,24.5758,31.1225
2013-04-11,103.4653,14.0994,13.5316,24.5815,31.1374
2013-04-12,103.5704,14.0426,13.3635,24.5872,31.1464
2013-04-14,103.5704,14.0426,13.3635,24.5986,31.1464
2013-04-15,103.6711,13.985,13.4536,24.6045,31.1685
2013-04-16,103.0719,14.2436,13.7055,24.6103,31.1787
2013-04-17,103.0866,14.267,13.7107,24.6161,31.1958
2013-04-18,103.1589,14.4401,13.9167,24.6219,31.2408
2013-04-19,103.1589,14.4401,13.9167,24.6219,31.2458
2013-04-21,103.1589,14.4401,13.9167,24.6392,31.2458
2013-04-22,103.216,14.6259,14.0431,24.645,31.2718
2013-04-23,103.2481,14.5801,13.9829,24.6507,31.2609
2013-04-24,103.2481,14.5801,13.9829,24.6565,31.2657
2013-04-25,103.2947,14.7586,14.0593,24.6623,31.3033
2013-04-26,103.3139,14.7058,14.0531,24.6681,31.3278
2013-04-28,103.3139,14.7058,14.0531,24.6796,31.3278
2013-04-29,103.3845,14.8289,14.1084,24.6855,31.3398
2013-04-30,103.0655,14.8945,14.1086,24.6913,31.3503
2013-05-01,103.0655,14.8945,14.1086,24.6971,31.3503
2013-05-02,103.2057,15.1032,14.229,24.7029,31.3834
2013-05-03,103.2082,15.0518,14.1115,24.7088,31.3656
2013-05-05,103.2082,15.0518,14.1115,24.7203,31.3656
2013-05-06,103.2821,15.1497,14.2356,24.726,31.3995
